ä®íËïÚçsÅFì`ï[ãÊêÿ,G/L Account,édñÛì˙,ê\êøì˙,édñÛÉfÅ[É^ê∂ê¨ì˙,ì`ï[No.,éÿï˚ÅFä®íËâ»ñ⁄ÅFâÔåvòAåg?ñ⁄,éÿï˚ÅFï‚?â»ñ⁄ÅFâÔåvòAåg?ñ⁄,,,ä∑éZëOäz,íPà ,éÿï˚ÅF?íS?ñÂÅFâÔåvòAåg?ñ⁄,ê\êøé“CD/éxï•êÊCD,éxï•êÊCD,ìEóv,Ét?Å[ÇQ(ñæç◊),Receipt/Invoice Note(ñæç◊),Receipt/Invoice No.(ñæç◊),éÿï˚ÅF?íS?ñÂÉRÅ[Éh,îıçl
,G/L Account,2025/5/3,2025/6/10,2025/6/23,VPA-0000194,74200-10,,,,119.99,R-USD,VCA.1342G,10100,,"VPA-0000194   Subscription - Membership, Books, Educational Material",,LinkedIn Sales Navigator May Invoice,10197859108,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/3,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,119.99,R-USD,VCA.1342G,10100,,"VPA-0000194   Subscription - Membership, Books, Educational Material",,LinkedIn Sales Navigator May Invoice,10197859108,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/5,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,109.45,R-USD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,ICE TRain Travel from Frankfurt to Munich by Train to get to Power2Drive conference,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/5/5,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,109.45,R-USD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,ICE TRain Travel from Frankfurt to Munich by Train to get to Power2Drive conference,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/5/6,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,190,R-EUR,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Per diem: Europe (EUR 50 per day),,"50 Euro Per Diem - Tuesday, Wednesday, Thursday 80% (breakfast included, Friday",,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/5/6,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,190,R-EUR,VCA.1342G,10126,,è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Per diem: Europe (EUR 50 per day),,"50 Euro Per Diem - Tuesday, Wednesday, Thursday 80% (breakfast included, Friday",,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/5/6,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,11,R-EUR,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,Bus Shuttle Munich Conference Power2Drive to Munich Airport to go to AUTO ISAC,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/5/6,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,11,R-EUR,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,Bus Shuttle Munich Conference Power2Drive to Munich Airport to go to AUTO ISAC,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/5/7,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,34.06,R-USD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,UBER Taxi Gothenburg Airport to Hotel AUTO ISAC,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/5/7,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,34.06,R-USD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,UBER Taxi Gothenburg Airport to Hotel AUTO ISAC,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/5/8,2025/5/23,2025/6/23,OBA-0000031,72600-10,72600-10,,,21.59,R-USD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,UBER Hotel Gothenburg to AUTO ISAC,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,Vendor,2025/5/8,2025/5/23,2025/6/23,OBA-0000031,,,32200-10,32200-10,21.59,R-USD,VCA.1342G,10126,,"è]ã∆àıóßë÷ OBA-0000031 Johan Veenstra  Overseas Travel (Airport Tax, Taxi, Train, Bus fare)",,UBER Hotel Gothenburg to AUTO ISAC,,VCA.1342G,"Flight, hotel and subsistence for travel to Power2Drive conference in Munich & AUTO ISAC conference in Gothenburg CW19 2025 (NOTE currency is USD - but RAKURAKU gives me an error when selecting any other currency)"
,G/L Account,2025/5/8,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,53.72,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with Frank Gall ex Ford Executive,20250509,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/8,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,53.72,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with Frank Gall ex Ford Executive,20250509,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/8,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,11.98,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with Roy Gourdy Nissan,2025/5/8,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/8,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,11.98,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with Roy Gourdy Nissan,2025/5/8,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/8,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,13.31,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with vivek venkatachalam CNHI,2025/5/8,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/8,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,13.31,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with vivek venkatachalam CNHI,2025/5/8,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/9,2025/6/13,2025/6/23,APA-0000465,74150-10,,,,340.81,R-USD,VCA.1751G,10129,V-US00003,"APA-0000465 ADP, Inc. Outside Service (Certificate/Notary/Outsourced Service)",,ADP payroll service feeÅb202505,690521913,VCA.1751G,ADP payroll service feeÅb202505
,Vendor,2025/5/9,2025/6/13,2025/6/23,APA-0000465,,,31200-10,31200-10,340.81,R-USD,VCA.1751G,10129,V-US00003,"APA-0000465 ADP, Inc. Outside Service (Certificate/Notary/Outsourced Service)",,ADP payroll service feeÅb202505,690521913,VCA.1751G,ADP payroll service feeÅb202505
,G/L Account,2025/5/12,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,5.9,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with Alex Oyster SBD,20250512,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/12,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,5.9,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Coffee with Alex Oyster SBD,20250512,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/12,2025/6/9,2025/6/23,VPA-0000189,74840-10,,,,83,R-USD,VCA.1342G,10091,,VPA-0000189   Lease line/ISDN/Internet Access/ADSL,,Home internet,20250512,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/12,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,83,R-USD,VCA.1342G,10091,,VPA-0000189   Lease line/ISDN/Internet Access/ADSL,,Home internet,20250512,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/13,2025/5/31,2025/6/23,VPA-0000184,72600-10,72600-30,,,956.96,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Airfare, Train, High Speed Rail",,Airfare to Detroit for ESCAR USA 2025 conference,JN74WO,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,Vendor,2025/5/13,2025/5/31,2025/6/23,VPA-0000184,,,32200-10,32200-10,956.96,R-USD,VCA.1342G,10073,,"VPA-0000184   Domestic Travel - Local Airfare, Train, High Speed Rail",,Airfare to Detroit for ESCAR USA 2025 conference,JN74WO,VCA.1342G,Trip to Detroit for ESCAR USA 2025 conference
,G/L Account,2025/5/13,2025/6/9,2025/6/23,VPA-0000189,74200-10,,,,99.99,R-USD,VCA.1342G,10091,,"VPA-0000189   Subscription - Membership, Books, Educational Material",,LinkedIN Navigator Subscription,2025/5/13,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/13,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,99.99,R-USD,VCA.1342G,10091,,"VPA-0000189   Subscription - Membership, Books, Educational Material",,LinkedIN Navigator Subscription,2025/5/13,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/14,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,40.39,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Breakfast with AWS Bill Foy,2025/5/14,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/14,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,40.39,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Breakfast with AWS Bill Foy,2025/5/14,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/15,2025/6/10,2025/6/23,VPA-0000194,74840-10,,,,75,R-USD,VCA.1342G,10100,,VPA-0000194   Lease line/ISDN/Internet Access/ADSL,,Internet May Invoice,8529100830754886,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,Vendor,2025/5/15,2025/6/10,2025/6/23,VPA-0000194,,,32200-10,32200-10,75,R-USD,VCA.1342G,10100,,VPA-0000194   Lease line/ISDN/Internet Access/ADSL,,Internet May Invoice,8529100830754886,VCA.1342G,May Expense Report (ESCAR US + MEMA Purchasing Summit + Customer Mtgs)
,G/L Account,2025/5/16,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,45,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with GM Monica Mitchell,2025/5/16,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/16,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,45,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with GM Monica Mitchell,2025/5/16,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/19,2025/6/9,2025/6/23,VPA-0000189,73300-40,,,,78,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with Frank Gall Executive retired from Ford,2025/5/19,VCA.1342G,Sales Expenses for April 23 to May 30th
,Vendor,2025/5/19,2025/6/9,2025/6/23,VPA-0000189,,,32200-10,32200-10,78,R-USD,VCA.1342G,10091,,VPA-0000189   Business Entertainment (Activity/Meal/Gift with Customer),,Lunch with Frank Gall Executive retired from Ford,2025/5/19,VCA.1342G,Sales Expenses for April 23 to May 30th
,G/L Account,2025/5/20,2025/5/21,2025/6/23,VPA-0000170,75512-10,,,,500,R-USD,VCA.1342G,10073,,VPA-0000170   Marketing Expense - Event - Trade shows/Road show,,Ticket for ESCAR USA 2025 conference,ESCARUSA25116,VCA.1342G,ESCAR 2025 conference from 5/20 to 5/22.
,Vendor,2025/5/20,2025/5/21,2025/6/23,VPA-0000170,,,32200-10,32200-10,500,R-USD,VCA.1342G,10073,,VPA-0000170   Marketing Expense - Event - Trade shows/Road show,,Ticket for ESCAR USA 2025 conference,ESCARUSA25116,VCA.1342G,ESCAR 2025 conference from 5/20 to 5/22.
,G/L Account,2025/5/20,2025/5/23,2025/6/23,VPA-0000172,72600-10,72600-30,,,58.3,R-USD,VCA.1342G,10126,,"VPA-0000172   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking Lyft Airport to Saint Johns Resort ESCAR",Lyft Airport to Saint Johns Resort ESCAR,Lyft Taxi to Saint John's Resort from DTW Airport,20250522,VCA.1342G,"Lyft, Hotel, Food 
ESCAR Conference 2025 at the Saint Johns Resort, Michigan"
,Vendor,2025/5/20,2025/5/23,2025/6/23,VPA-0000172,,,32200-10,32200-10,58.3,R-USD,VCA.1342G,10126,,"VPA-0000172   Domestic Travel - Local Taxi, Petrol Claim, Toll, Parking Lyft Airport to Saint Johns Resort ESCAR",Lyft Airport to Saint Johns Resort ESCAR,Lyft Taxi to Saint John's Resort from DTW Airport,20250522,VCA.1342G,"Lyft, Hotel, Food 
ESCAR Conference 2025 at the Saint Johns Resort, Michigan"
,G/L Account,2025/5/20,2025/5/23,2025/6/23,VPA-0000172,72600-10,72600-30,,,682.9,R-USD,VCA.1342G,10126,,VPA-0000172   Domestic Travel - Hotel Accommodation ESCAR Conference 2025,ESCAR Conference 2025,Saint John's Resort Hotel Accomodation ESCAR USA Conference 2025,20250522,VCA.1342G,"Lyft, Hotel, Food 
ESCAR Conference 2025 at the Saint Johns Resort, Michigan"
,Vendor,2025/5/20,2025/5/23,2025/6/23,VPA-0000172,,,32200-10,32200-10,682.9,R-USD,VCA.1342G,10126,,VPA-0000172   Domestic Travel - Hotel Accommodation ESCAR Conference 2025,ESCAR Conference 2025,Saint John's Resort Hotel Accomodation ESCAR USA Conference 2025,20250522,VCA.1342G,"Lyft, Hotel, Food 
ESCAR Conference 2025 at the Saint Johns Resort, Michigan"
